financial_year,police_force,region_clean,total_searches,missing_searches,pct_missing
2022/23,Metropolitan Police,London,175277,51694,29.5
2022/23,Norfolk,East of England,3833,595,15.5
2022/23,North Wales,Wales,3605,363,10.1
2022/23,North Yorkshire,Yorkshire and The Humber,3021,790,26.2
2022/23,Northamptonshire,East Midlands,3777,332,8.8
2022/23,Northumbria,North East,5487,115,2.1
2022/23,Nottinghamshire,East Midlands,4726,1387,29.3
2022/23,South Wales,Wales,7102,603,8.5
2022/23,South Yorkshire,Yorkshire and The Humber,10990,2375,21.6
2022/23,Staffordshire,West Midlands,4438,436,9.8
2022/23,Suffolk,East of England,4060,686,16.9
2022/23,Surrey,South East,4771,1417,29.7
2022/23,Sussex,South East,5432,826,15.2
2022/23,Thames Valley,South East,14076,4512,32.1
2022/23,Warwickshire,West Midlands,1171,123,10.5
2022/23,West Mercia,West Midlands,4057,420,10.4
2022/23,West Midlands,West Midlands,25487,2439,9.6
2022/23,West Yorkshire,Yorkshire and The Humber,17564,1738,9.9
2022/23,Wiltshire,South West,1765,356,20.2
2023/24,Avon & Somerset,South West,6060,1456,24
2023/24,Bedfordshire,East of England,4110,719,17.5
2023/24,Cambridgeshire,East of England,2683,400,14.9
2023/24,Cheshire,North West,13394,1413,10.5
2023/24,Cleveland,North East,8603,1347,15.7
2023/24,Cumbria,North West,7512,628,8.4
2023/24,Derbyshire,East Midlands,2578,249,9.7
2023/24,Devon & Cornwall,South West,6068,442,7.3
2023/24,Dorset,South West,1944,272,14
2023/24,Durham,North East,3044,120,3.9
2023/24,Dyfed-Powys,Wales,4881,432,8.9
2023/24,Essex,East of England,15305,4499,29.4
2023/24,Gloucestershire,South West,1995,176,8.8
2023/24,Greater Manchester,North West,44712,8590,19.2
2023/24,Gwent,Wales,2289,435,19
2023/24,Hampshire,South East,12191,1940,15.9
2023/24,Hertfordshire,East of England,6253,1087,17.4
2023/24,Humberside,Yorkshire and The Humber,4947,1180,23.9
2023/24,Kent,South East,13283,2781,20.9
2023/24,Lancashire,North West,16729,2648,15.8
2023/24,Leicestershire,East Midlands,6096,1442,23.7
2023/24,Lincolnshire,East Midlands,3178,449,14.1
2023/24,"London, City of",London,2373,1200,50.6
2023/24,Merseyside,North West,49573,2786,5.6
2023/24,Metropolitan Police,London,135348,42383,31.3
2023/24,Norfolk,East of England,2867,661,23.1
2023/24,North Wales,Wales,3069,750,24.4
2023/24,North Yorkshire,Yorkshire and The Humber,2955,600,20.3
2023/24,Northamptonshire,East Midlands,4402,421,9.6
2023/24,Northumbria,North East,8756,198,2.3
2023/24,Nottinghamshire,East Midlands,4233,1351,31.9
2023/24,South Wales,Wales,5400,767,14.2
2023/24,South Yorkshire,Yorkshire and The Humber,10446,2021,19.3
2023/24,Staffordshire,West Midlands,5753,483,8.4
2023/24,Suffolk,East of England,2667,588,22
2023/24,Surrey,South East,5084,918,18.1
2023/24,Sussex,South East,6600,1389,21
2023/24,Thames Valley,South East,16064,4678,29.1
2023/24,Warwickshire,West Midlands,1252,281,22.4
2023/24,West Mercia,West Midlands,4317,519,12
2023/24,West Midlands,West Midlands,24146,2202,9.1
2023/24,West Yorkshire,Yorkshire and The Humber,18421,1116,6.1
2023/24,Wiltshire,South West,1512,385,25.5
2024/25,Avon & Somerset,South West,5491,1418,25.8
2024/25,Bedfordshire,East of England,3682,660,17.9
2024/25,Cambridgeshire,East of England,2634,409,15.5
2024/25,Cheshire,North West,11840,733,6.2
2024/25,Cleveland,North East,6545,1065,16.3
2024/25,Cumbria,North West,8908,889,10
2024/25,Derbyshire,East Midlands,3418,142,4.2
2024/25,Devon & Cornwall,South West,5808,484,8.3
2024/25,Dorset,South West,2029,296,14.6
2024/25,Durham,North East,2560,102,4
2024/25,Dyfed-Powys,Wales,3686,198,5.4
2024/25,Essex,East of England,13822,3548,25.7
2024/25,Gloucestershire,South West,2461,263,10.7
2024/25,Greater Manchester,North West,49275,9158,18.6
2024/25,Gwent,Wales,3537,1064,30.1
2024/25,Hampshire,South East,13337,1782,13.4
2024/25,Hertfordshire,East of England,6270,1278,20.4
2024/25,Humberside,Yorkshire and The Humber,5213,1465,28.1
2024/25,Kent,South East,14587,3565,24.4
2024/25,Lancashire,North West,19268,3070,15.9
2024/25,Leicestershire,East Midlands,4983,1169,23.5
2024/25,Lincolnshire,East Midlands,2707,407,15
2024/25,"London, City of",London,2287,976,42.7
2024/25,Merseyside,North West,53105,1917,3.6
2024/25,Metropolitan Police,London,120922,37535,31
2024/25,Norfolk,East of England,2694,648,24.1
2024/25,North Wales,Wales,4357,1460,33.5
2024/25,North Yorkshire,Yorkshire and The Humber,2366,409,17.3
2024/25,Northamptonshire,East Midlands,3663,378,10.3
2024/25,Northumbria,North East,10068,206,2
2024/25,Nottinghamshire,East Midlands,3375,1336,39.6
2024/25,South Wales,Wales,4925,1178,23.9
2024/25,South Yorkshire,Yorkshire and The Humber,10067,1757,17.5
2024/25,Staffordshire,West Midlands,6230,701,11.3
2024/25,Suffolk,East of England,2476,573,23.1
2024/25,Surrey,South East,5549,728,13.1
2024/25,Sussex,South East,6215,865,13.9
2024/25,Thames Valley,South East,17385,4032,23.2
2024/25,Warwickshire,West Midlands,1325,140,10.6
2024/25,West Mercia,West Midlands,3270,541,16.5
2024/25,West Midlands,West Midlands,23448,2503,10.7
2024/25,West Yorkshire,Yorkshire and The Humber,17178,677,3.9
2024/25,Wiltshire,South West,1926,500,26
